PMID,Title,Journal,Year,Cited_By_Count
38506317,Effects of evidence-based nursing on surgical site wound infection in patients undergoing acute appe,Int Wound J,2024,0
38494179,Wound infection and healing in minimally invasive plate osteosynthesis compared with intramedullary ,Int Wound J,2024,1
38477639,Effects of high tibial osteotomy compared with unicondylar knee arthroplasty on the surgical site wo,Int Wound J,2024,2
38472132,Impact of stapler versus manual closure techniques on pharyngocutaneous fistula development post-tot,Int Wound J,2024,2
38472131,Effect of two different surgical modalities for pelvic organ prolapse on postoperative wound infecti,Int Wound J,2024,0
38472128,Effects of clinical nursing pathway on the surgical site wound infection in patients undergoing knee,Int Wound J,2024,2
38472107,Impact of prophylactic wound closure in colorectal ESD on postoperative wound complications: A meta-,Int Wound J,2024,6
38468423,Effect of angiogenesis inhibitors on wound healing in patients with ovarian cancer: A meta-analysis.,Int Wound J,2024,1
38468366,The impact of early nutritional support on postoperative wound healing in patients with complex frac,Int Wound J,2024,5
38453160,Effect of passive versus active abdominal drainage on wound infection after pancreatectomy: A meta-a,Int Wound J,2024,0
38439170,Effect of two different modalities of hysterectomy on wound infection and wound dehiscence in obese ,Int Wound J,2024,0
38420690,Effect of topical application of autologous platelet gel on sternal wound infection after cardiac su,Int Wound J,2024,1
38409902,Effect of two different techniques of arteriovenous fistula puncture on wound infection in haemodial,Int Wound J,2024,2
38379248,Assessing biomarkers for post-surgical wound healing: A meta-analysis of exosome-based CircRNA in br,Int Wound J,2024,5
38361225,Effect of general and spinal anaesthesia on post-operative wound healing during laparoscopic totally,Int Wound J,2024,0
38361180,Effects of laparoscopic radical prostatectomy on wound infection of surgery in patients with prostat,Int Wound J,2024,0
38356179,Effect of wound drainage on the wound infection and healing in patients undergoing spinal surgery: A,Int Wound J,2024,0
38351522,Effect of laparoscopic and open distal pancreatectomy on postoperative wound complications in patien,Int Wound J,2024,1
38351506,Evaluating traditional Chinese medicine (TCM) Jie Geng and Huang Qi combination on reducing surgical,Int Wound J,2024,5
38351465,Analgesic efficacy of local infiltration anaesthesia versus femoral nerve block in alleviating posto,Int Wound J,2024,3
38346149,Risk and protective factors associated with wound infection after neurosurgical procedures: A meta-a,Int Wound J,2024,8
38339818,Meta-analysis on the impact of immune senescence: Unravelling the interplay in cutaneous wound heali,Int Wound J,2024,3
38272824,Effects of operating room nursing intervention on wound infection in patients undergoing ovarian cys,Int Wound J,2024,1
38272821,Effect of salpingectomy versus tubal ligation on postoperative wound infection in patients: A meta-a,Int Wound J,2024,0
38272819,A meta-analysis of topical Ketorolac's effect on surgical site wound healing post-cataract surgery.,Int Wound J,2024,0
38272818,Impact of enhanced recovery after surgery protocols on surgical site wound infection rates in urolog,Int Wound J,2024,1
38272817,Meta-analysis of the impact of laser interstitial hyperthermia on wound healing complications in bra,Int Wound J,2024,2
38272814,Effects of evidence-based nursing on surgical site wound infections in patients undergoing surgery f,Int Wound J,2024,3
38272812,Wound infection prevention strategies in colorectal endoscopic mucosal resection: A meta-analysis of,Int Wound J,2024,0
38272810,The influence of minimally invasive esophagectomy on wound infection in patients undergoing esophage,Int Wound J,2024,4
38272807,Evaluation of bevacizumab biosimilar on wound healing complications in patients with colorectal canc,Int Wound J,2024,3
38169097,A meta-analysis examining the impact of open surgical therapy versus minimally invasive surgery on w,Int Wound J,2024,1
38158871,Effect of prolonged antibiotic prophylaxis on the occurrence of surgical site wound infection after ,Int Wound J,2024,4
38158715,Comparative analysis of surgical and non-surgical wound approaches in diabetic foot ulcer treatment:,Int Wound J,2024,8
38158647,Effect of intraoperative abdominal lavage versus suction alone on postoperative wound infection in p,Int Wound J,2024,4
38158640,Impact of perioperative enhanced recovery after surgery on wound infection in patients undergoing or,Int Wound J,2024,1
38156707,Utility of dexmedetomidine on surgical site wound pain undergoing thoracoscopic surgery: A meta-anal,Int Wound J,2024,0
38156706,Efficacy of stem cell therapy for diabetic foot: Clinical evidence from meta-analyses.,Int Wound J,2024,1
38155428,Evaluating the impact of ultrasound-guided subsheath versus extrasheath sciatic nerve block on posto,Int Wound J,2024,2
38155417,Comparative efficacy of silver alginate dressings versus standard gauze in enhancing wound healing p,Int Wound J,2024,4
38155392,Efficacy and safety of oral probiotic supplementation in mitigating postoperative surgical site infe,Int Wound J,2024,12
38152991,Effect of comprehensive nursing intervention on wound pain and wound complications in patients with ,Int Wound J,2024,1
38151891,Effect of bevacizumab in combination with chemotherapy for ovarian cancer on wound healing in patien,Int Wound J,2024,2
38140754,A meta-analysis of the risk factors for neurosurgical surgical site infection following craniotomy.,Int Wound J,2024,1
38130091,A meta-analysis of postoperative wound complications at the surgical site in prostate cancer patient,Int Wound J,2024,1
38116717,Impact of preoperative chemotherapy on cutaneous wound healing in lung cancer patients: A meta-analy,Int Wound J,2024,1
38102858,Risk factors associated with surgical site infections in patients undergoing cardiothoracic surgery:,Int Wound J,2024,5
38098219,Effect of humanised care on the surgical site wound infection after caesarean: A meta-analysis.,Int Wound J,2024,1
38093697,Effect of endoscopic mucosal resection and endoscopic submucosal dissection on postoperative wound c,Int Wound J,2024,1
38087907,Efficacy of anti-vascular endothelial growth factor and mitomycin C on wound healing after trabecule,Int Wound J,2024,3
38084057,Impact of surgical site infection after open and laparoscopic surgery among paediatric appendicitis ,Int Wound J,2024,3
38084020,A meta-analysis evaluating wound infections and other complications following distal versus complete,Int Wound J,2024,1
38084011,Effects of accelerated rehabilitation surgical care on the surgical site wound infection and postope,Int Wound J,2024,2
38083831,Influence of continuous nursing on surgical site wound infection and postoperative complication for ,Int Wound J,2024,6
38069545,Effect of laparoscopic-assisted transvaginal hysterectomy on wound complications in patients with ea,Int Wound J,2024,1
38069543,Efficacy of the combination of Chinese herbal medicine and negative pressure wound therapy in the tr,Int Wound J,2024,4
38064172,Impact of obese patients in ovarian cancer surgery on postoperative wound complications: A meta-anal,Int Wound J,2024,0
38044279,Predicted factors of surgical site infection in glioblastoma patients: A meta-analysis.,Int Wound J,2024,1
38037852,Effect of drain placement in short-level spinal surgery on postoperative wound infection: A meta-ana,Int Wound J,2024,1
37990074,Effect of mitomycin C and 5-fluorouracil on wound healing in patients undergoing glaucoma surgery: A,Int Wound J,2024,0
37989726,Impact of diabetic versus non-diabetic patients undergoing coronary artery bypass graft surgery on p,Int Wound J,2024,3
37989718,Impact of ileostomy on postoperative wound complications in patients after laparoscopic rectal cance,Int Wound J,2024,2
37987030,Effects of intramedullary nailing and internal fixation plates on postoperative wound infection and ,Int Wound J,2024,2
37973531,Effects of enhance recovery after surgery nursing program on the surgical site wound infection in pa,Int Wound J,2024,0
37973530,Effects of an enhanced recovery after surgery nursing programme on surgical site wound infection and,Int Wound J,2024,3
37953069,Effects of rapid rehabilitation nursing model on surgical site wound infection and pain of patients ,Int Wound J,2024,0
37938886,Effect of transverse colostomy versus ileostomy in colorectal anastomosis on post-operative wound co,Int Wound J,2024,0
37935425,Effect of laparoscopic versus open surgery on postoperative wound complications in patients with low,Int Wound J,2024,5
37919995,ICG fluorescence imaging technology in laparoscopic liver resection for primary liver cancer: A meta,Math Biosci Eng,2023,1
37736875,Effect of open surgical and percutaneous dilatational tracheostomy on postoperative wound complicati,Int Wound J,2024,7
37722871,Effect of closed incision negative pressure wound treatment in vascular surgery: A meta-analysis.,Int Wound J,2024,1
37706271,Impact of open and minimally invasive surgery on postoperative wound complications in patients under,Int Wound J,2024,1
37704593,Diabetic foot wound ulcers management by vacuum sealing drainage: A meta-analysis.,Int Wound J,2024,8
37699722,The influence of direct anterior approach and postero-lateral approach on wound complications after ,Int Wound J,2024,2
37697710,"The impact of negative pressure wound therapy on surgical wound infection, hospital stay and postope",Int Wound J,2024,3
37697689,The impact of sufentanil versus remifentanil on surgical site wound healing in caesarean section pri,Int Wound J,2024,0
37697485,Therapeutic efficacy of platelet-rich fibrin on surgical site wound healing in patients undergoing o,Int Wound J,2024,15
37679956,Effect of suture closure and staple closure on postoperative wound complications in patients undergo,Int Wound J,2024,4
37675805,Wound infection in robotic-assisted radical prostatectomy compared with retropubic radical prostate ,Int Wound J,2023,1
37675771,Effect of tobacco usage on surgical site wound problems after primary total hip and total knee arthr,Int Wound J,2024,4
37650448,"The effects of enhanced recovery after surgery on wound infection, complications, and postoperative ",Int Wound J,2023,17
37649253,Impact of spinal Anaesthesia versus general Anaesthesia on the incidence of surgical site infections,Int Wound J,2024,2
37641210,Effect of intramedullary fixation and plate fixation on postoperative wound complications in clavicl,Int Wound J,2024,1
37641209,Effect of right anterolateral thoracotomy versus median sternotomy on postoperative wound tissue rep,Int Wound J,2024,1
37596788,Effect of thoracoscopic and thoracotomy on postoperative wound complications in patients with lung c,Int Wound J,2023,8
37596719,Diabetic foot wound ulcer management by laser therapy: A meta-analysis.,Int Wound J,2023,6
37592759,Effect of accelerated rehabilitation nursing programmes on surgical site wound infection in patients,Int Wound J,2024,0
37555547,A meta-analysis comparing the effects of cemented and uncemented prostheses on wound infection and p,Int Wound J,2023,1
37548134,The effect of neoadjuvant chemotherapy on surgical site wound infection after immediate breast recon,Int Wound J,2024,3
37539486,Perineal wound complications after vertical rectus abdominis myocutaneous flap and mesh closure foll,Int Wound J,2023,0
37534409,Effect of incisional negative pressure therapy and conventional treatment on wound complications aft,Int Wound J,2023,2
37519132,Effect of barbed versus standard sutures on wound complications in total knee arthroplasty: A meta-a,Int Wound J,2023,3
37518969,Impact of wound complications in obese versus non-obese patients undergoing total hip arthroplasty: ,Int Wound J,2023,7
37518769,Influence of closed-incision negative-pressure wound therapy on the incidence of surgical site wound,Int Wound J,2023,4
37496310,Impact of robotic and open surgery on patient wound complications in gastric cancer surgery: A meta-,Int Wound J,2023,2
37493021,A meta-analysis of the effect of laparoscopic gastric resection on the surgical site wound infection,Int Wound J,2023,0
37491831,Male infertility and urological tumors: Pathogenesis and therapeutical implications.,Urologia,2023,5
37483017,Effect of Clindamycin compared with Ampicillin-Sulbactam as prophylactic antibiotics for wound infec,Int Wound J,2023,1
37448350,The impact of sarcopenia on prognosis of patients with pancreatic cancer: A systematic review and me,Scott Med J,2023,6
37442783,Effect of minimally invasive versus open surgery in hepatectomy on postoperative wound complications,Int Wound J,2023,2
37433641,Effectiveness of nursing intervention in the operating room to prevent wound infections in patients ,Int Wound J,2023,3
37424390,Prevalence of surgical wound infection and related factors in patients after long bone surgery: A sy,Int Wound J,2023,7
37424304,Effect of retrieval bags in preventing surgical site wound infection during elective laparoscopic ch,Int Wound J,2023,1
37376826,Effect of continuous nursing on wound infection and quality of life in patients with cancer-related ,Int Wound J,2023,3
37350616,Platelet-rich plasma influence on the sternal wounds healing: A meta-analysis.,Int Wound J,2023,4
37337468,Comparison of wound complications between one-stage and two-stage brachiobasilic arteriovenous fistu,Int Wound J,2023,1
37328950,Amputation and limb salvage following endovascular and open surgery for the treatment of peripheral ,Int Wound J,2023,1
37309291,Intrawound vancomycin powder in orthopaedic surgery as surgical site wound infection prophylaxis: A ,Int Wound J,2023,1
37309086,Effects of dexmedetomidine on surgical site wound pain in patients undergoing laparoscopic cholecyst,Int Wound J,2023,2
37303303,Wound healing rates and wound problems of conventional circumcision compared with ring circumcision:,Int Wound J,2023,2
37303275,Management of Impacted Fetal Head at Caesarean Birth: Scientific Impact Paper No. 73.,BJOG,2023,16
37303125,Wound cosmesis problems and other postoperative problems of laparoscopic compared to open paediatric,Int Wound J,2023,4
37293742,Surgical site wound infection and wound pain after video-assisted thoracoscopy in patients with lung,Int Wound J,2023,6
37287429,Use of local wound infiltration in open hepatectomy to reduce wound pain: A systematic review and me,Int Wound J,2023,0
37277912,Effect of laparoscopic pancreaticoduodenectomy on the incidence of surgical-site wound infection: A ,Int Wound J,2023,3
37264722,The effect of the cortical bone trajectory screw fixation and traditional pedicle screw fixation on ,Int Wound J,2023,1
37243402,Effect of possible risk factors for pharyngocutaneous fistula after total laryngectomy of laryngeal ,Int Wound J,2023,7
37194335,The hepatic and pancreatic tumour resection risk factors for surgical site wound infections: A meta-,Int Wound J,2023,1
37193587,Effect of single-port video-assisted thoracoscopy on surgical site wound infection and healing in pa,Int Wound J,2023,3
37190865,The connotation between perioperative glycemic control approach and sternal wound infection in indiv,Int Wound J,2023,3
37165731,Wound complications frequency in heart transplant recipients on mammalian target of rapamycin inhibi,Int Wound J,2023,4
37161646,Effect of adjunctive prophylactic macrolides used at the caesarean section on endometritis and surgi,Int Wound J,2023,1
37132096,The effect of the multiple arterial grafts compared with single arterial graft for coronary artery b,Int Wound J,2023,1
37118927,Risk factors for postoperative surgical site wound problems after metastatic and primary spine tumou,Int Wound J,2023,3
37105068,Fractionated stereotactic re-irradiation for recurrent glioblastoma: A systematic review and meta-an,Clin Neurol Neurosurg,2023,2
37095731,The effect of the use of postoperative antibiotic prophylaxis compared with non-use for stented dist,Int Wound J,2023,2
37086085,Surgical site wound infection and pain after laparoscopic repeat hepatectomy for recurrent hepatocel,Int Wound J,2023,2
37077340,The Use of Cytotoxic Drugs as First Line Chemotherapy for EGFR (+) Nonsquamous NSCLC: A Network Meta,Dis Markers,2023,2
37038328,Knee and hip arthroplasty joint surgical site wound infection in end-stage renal disease subjects wh,Int Wound J,2023,3
36977282,The wound adjuncts effect of closed incision negative pressure wound therapy on stopping groin surgi,Int Wound J,2023,4
36960557,A systematic review of social support and related factors among burns patients.,Int Wound J,2023,35
36924416,Prevalence of different types of wound infection in subjects with Parkinson's disease and total join,Int Wound J,2023,2
36919189,The outcome of prolonged postoperative antibiotics on wound healing in orthognathic surgery: A meta-,Int Wound J,2023,2
36880410,Wound dehiscence in enhanced recovery after open radical cystectomy: A meta-analysis.,Int Wound J,2023,0
36873791,A Systematic Review and Meta-Analysis of Influences of Chronic Kidney Disease on Patients after Perc,Comput Math Methods Med,2023,2
36860168,A meta-analysis of the effect of different body mass index on surgical wound infection after colorec,Int Wound J,2023,4
36820576,Diagnostic value of ultrasound elastography in triple negative breast cancer: A meta-analysis.,Medicine (Baltimore),2023,5
36794258,Treatment Protocols in the Efficacy and Safety of Anti-EGFR Medicines in Combination with Standard T,Biomed Res Int,2023,4
36787269,27-gauge microincision vitrectomy surgery compared with 25-gauge microincision vitrectomy surgery on,Int Wound J,2023,6
36776544,The Role of C-Reactive Protein in the Prognosis of Prostate Cancer: A Meta-Analysis.,J Environ Public Health,2023,3
36651221,A meta-analysis examined the effect of topical vancomycin application in decreasing sternal wound in,Int Wound J,2023,4
36629038,A meta-analysis of the effect of endoscopic submucosal dissection compared with gastrectomy on the w,Int Wound J,2023,0
36524330,Impact of negative pressure wound treatment on incidence of surgical site infection in varied orthop,Int Wound J,2023,9
36476015,"A meta-analysis and of clinical values of 11 blood biomarkers, such as AFP, DCP, and GP73 for diagno",Ann Med,2023,28
36401595,A meta-analysis examined the effect of stoma on surgical site wound infection in colorectal cancer.,Int Wound J,2023,2
36378365,Pallidal deep brain stimulation for tardive dystonia: meta-analysis of clinical outcomes.,Neurol Sci,2023,3
36336978,Oncological results in women with wound complications following mastectomy and immediate breast reco,Int Wound J,2023,5
36277883,The Association between the Risk of Esophageal Cancer and Type 2 Diabetes Mellitus: An Updated Meta-,Biomed Res Int,2022,5
36275975,Recurrence Rate and Exploration of Clinical Factors after Pituitary Adenoma Surgery: A Systematic Re,Comput Intell Neurosci,2022,10
36268143,C-Reactive Protein as a Prognostic Biomarker for Gynecologic Cancers: A Meta-Analysis.,Comput Intell Neurosci,2022,8
36251756,Impact of negative pressure wound drainage compared with natural wound drainage after thyroid tumour,Int Wound J,2023,3
36217504,Meta-Analysis of the Application Effect of Different Modalities of Thermal Ablation and Surgical Tre,Dis Markers,2022,6
36213578,Meta-Analysis on the Anesthetic Effects of Remifentanil plus Dexmedetomidine versus Remifentanil Alo,Comput Math Methods Med,2022,2
36213560,Efficacy and Safety of Radical Resection of Rectal  Cancer  Combined with Selective Lateral Lymph No,Contrast Media Mol Imaging,2022,1
36199769,Effects of Nursing Care for the Treatment of Patients with Bladder Cancer: A Systematic Review and M,Comput Math Methods Med,2022,3
36193317,Meta-Analysis of Prognostic Correlation of Thrombectomy for Cerebral Infarction Based on Intelligent,Biomed Res Int,2022,2
36181614,Proton beam therapy for skull base chordomas: a systematic review of tumor control rates and surviva,Neurosurg Rev,2022,13
36117245,Effect of wound protectors in reducing the incidence of surgical site wound infection in lower gastr,Int Wound J,2023,7
36111540,Effect of minimally invasive surgery and laparotomy on wound infection and postoperative and intraop,Int Wound J,2023,4
36060662,Efficacy of Cetuximab in Nasopharyngeal Carcinoma Patients Receiving Concurrent Cisplatin-Radiothera,Comput Math Methods Med,2022,1
36042681,Ultrasonic S-Detect mode for the evaluation of thyroid nodules: A meta-analysis.,Medicine (Baltimore),2022,9
36042648,Diagnostic accuracy of S-Detect to breast cancer on ultrasonography: A meta-analysis (PRISMA).,Medicine (Baltimore),2022,12
36035278,Clinicopathological Features and Prognostic-Related Risk Factors of Gastric Signet Ring Cell Carcino,Comput Math Methods Med,2022,5
36034204,Meta-Analysis of PKP or PVP Combined with Acupuncture in the Treatment of Osteoporotic Vertebral Com,Contrast Media Mol Imaging,2022,8
36033563,Clinical Efficacy and Safety Analysis of PD-1/PD-L1 Inhibitor vs. Chemotherapy in the Treatment of A,Biomed Res Int,2022,2
36017392,Factors Influencing Cerebrospinal Fluid Leaking following Pituitary Adenoma Transsphenoidal Surgery:,Biomed Res Int,2022,3
36017382,Meta-Analysis of the Comprehensive Efficacy of Intraocular Lens Implantation in Glaucoma Patients.,Biomed Res Int,2022,4
35979049,Grading Evaluation of Cardiotoxicity in Patients with Breast Cancer Treated with Adjuvant Paclitaxel,Comput Math Methods Med,2022,8
35965623,Meta-Analysis of the Effect of Dietary Care on Nausea and Vomiting in Oncology Chemotherapy Patients,Contrast Media Mol Imaging,2022,2
35832848,Systematic Review and Meta-Analysis of Complications after Laparoscopic Surgery and Open Surgery in ,Biomed Res Int,2022,4
35818744,Effect of prophylactic negative pressure treatment for post-surgery groin wounds management in vascu,Int Wound J,2023,6
35814551,Meta-Analysis of Knee Joint Function Recovery after Anterior Cruciate Ligament Reconstruction by Acc,Comput Intell Neurosci,2022,4
35813431,Comparison of the Efficacy and Complications of Soft Ureteroscopy Lithotripsy and Percutaneous Nephr,Comput Math Methods Med,2022,5
35782068,Identification of Paxillin as a Prognostic Factor for Glioblastoma via Integrated Bioinformatics Ana,Biomed Res Int,2022,4
35774293,"Effects of Enhanced Recovery Rehabilitation Surgery Concepts on the Surgical Process, Postoperative ",Comput Math Methods Med,2022,1
35756422,Excimer Laser Corneal Refractive Surgery in the Clinic: A Systematic Review and Meta-analysis.,Comput Math Methods Med,2022,4
35726346,Effectiveness of prophylactic application of negative pressure wound therapy in stopping surgical si,Int Wound J,2023,11
35713460,Superb microvascular imaging for distinguishing thyroid nodules: A meta-analysis (PRISMA).,Medicine (Baltimore),2022,12
35702946,Effect of prophylactic central neck dissection following total thyroidectomy on surgical site wound ,Int Wound J,2023,3
35670494,"Effect of body mass index on surgical site wound infection, mortality, and postoperative hospital st",Int Wound J,2023,8
35664644,"A Clinical Diagnostic Value Analysis of Serum CA125, CA199, and HE4 in Women with Early Ovarian Canc",Comput Math Methods Med,2022,15
35655732,Hydrogen Proton Magnetic Resonance Spectroscopy (MRS) in Differential Diagnosis of Intracranial Tumo,Contrast Media Mol Imaging,2022,6
35592713,Comparative Meta-Analysis of the Effects of OLIF and TLIF in Lumbar Spondylolisthesis Central Nerve ,Comput Intell Neurosci,2022,4
35582926,"The influence of Chinese herbal medicines on cancer-related pressure ulcer wound, fatigue, constipat",Int Wound J,2023,1
35567912,"RETRACTED: Comparison between diagnostic performance of intestinal Fusobacterium nucleatum, Bacteroi",Cancer Treat Res Commun,2022,3
35535660,A systemic review and a meta-analysis on the influences of closed incisions in orthopaedic trauma su,Int Wound J,2023,12
35535227,Risk Factors for TERT Promoter Mutations with Papillary Thyroid Carcinoma Patients: A Meta-Analysis ,Comput Math Methods Med,2022,8
35470964,The effect of different wound dressing materials used in postoperative treatment of wounds after tot,Int Wound J,2022,3
35449848,Risk Analysis of Positive PD-L1 Expression and Clinicopathological Features and Survival Prognosis i,J Healthc Eng,2022,6
35419184,The Association between Long Noncoding RNA over Expression and Poor Prognosis of Liver Cancer: A Met,J Healthc Eng,2021,2
35404211,Outcomes of Unconstrained Proximal Interphalangeal Joint Arthroplasty: A Systematic Review.,J Hand Surg Asian Pac Vol,2022,2
35392587,The Efficacy of Adjuvant Targeted Therapy in Patients with Advanced Renal Cell Carcinoma: A Systemat,Comput Math Methods Med,2022,4
35392147,Comparative Efficacy of Water and Conventional Delivery during Labour: A Systematic Review and Meta-,J Healthc Eng,2022,3
35356619,To Systematically Evaluate and Analyze the Efficacy and Safety of Transcatheter Arterial Chemoemboli,J Healthc Eng,2022,8
35352476,"Effect of enteral immunonutrition compared with enteral nutrition on surgical wound infection, immun",Int Wound J,2022,13
35342756,"Effect of Chinese Traditional Wushu on Cancer-Related Fatigue, Sleep Quality and Upper Limb Dysfunct",Biomed Res Int,2022,5
35340255,Clinical Efficacy and Safety of Percutaneous Spinal Endoscopy versus Traditional Open Surgery for Lu,J Healthc Eng,2022,9
35340233,Two Different Transplant Preconditioning Regimens Combined with Irradiation and Chemotherapy in the ,J Healthc Eng,2022,1
35312690,"Prognostic impact of prognostic nutritional index on renal cell carcinoma: A meta-analysis of 7,629 ",PLoS One,2022,6
35251296,Analysis of the Need for Postoperative Drainage Application for Hip Arthroplasty: A Systematic Revie,Comput Math Methods Med,2022,1
35222897,A Meta-Analysis of Systemic Evaluation of Knee Ligament Injury or Intervention of Knee Proprioceptiv,J Healthc Eng,2022,4
35191597,"Rapid rehabilitation effect on complications, wound infection, anastomotic leak, obstruction, and ho",Int Wound J,2022,2
35140901,Quality of Life in Patients with Breast Cancer following Breast Conservation Surgery: A Systematic R,J Healthc Eng,2022,6
35136418,Meta-Analysis on the Application Value of Collaborative Nursing in Postcolostomy Nursing of Patients,Comput Math Methods Med,2022,3
35126914,Targeting AraC-Resistant Acute Myeloid Leukemia by Dual Inhibition of CDK9 and Bcl-2: A Systematic R,J Healthc Eng,2022,3
35126640,Breastfeeding and Reduced Risk of Breast Cancer: A Systematic Review and Meta-Analysis.,Comput Math Methods Med,2022,29
35122396,A meta-analysis comparing efficiency of limb-salvage surgery vs amputation on patients with osteosar,Int Wound J,2022,8
35028118,CT Signs and Differential Diagnosis of Peripheral Lung Cancer and Inflammatory Pseudotumor: A Meta-A,J Healthc Eng,2022,7
35003324,Pathologic Complete Response and Its Impact on Breast Cancer Recurrence and Patient's Survival after,Comput Math Methods Med,2021,10
34956581,To Investigate the Effect of Glucocorticoids on Blood Loss during and after First Total Hip Arthropl,J Healthc Eng,2021,1
34956393,Second-Generation Tyrosine Kinase Inhibitor Discontinuation in Chronic Myeloid Leukemia Patients wit,Comput Math Methods Med,2021,5
34938347,Prognostic Factors of IIIAN2 Non-Small-Cell Lung Cancer after Complete Resection: A Systemic Review ,Comput Math Methods Med,2021,1
34925737,A Meta-Analysis of the Efficacy of Albumin Paclitaxel versus Docetaxel in the Treatment of Breast Ca,J Healthc Eng,2021,2
34912470,Combination use of core decompression for osteonecrosis of the femoral head: A systematic review and,Comput Math Methods Med,2021,6
34854236,Negative pressure wound therapy compared with conventional wound dressings for closed incisions in o,Int Wound J,2022,16
34840595,Meta-Analysis of Contrast Enhanced Ultrasound in Judging Benign and Malignant Thyroid Tumors.,Comput Math Methods Med,2021,5
34804454,Meta-Analysis on the Improvement of Symptoms and Prognosis of Gastrointestinal Tumors Based on Medic,J Healthc Eng,2021,2
34789103,Outcomes of Unconstrained Proximal Interphalangeal Joint Arthroplasty: A Systematic Review.,J Hand Surg Asian Pac Vol,2021,0
34777729,Tranexamic Acid versus Epsilon-Aminocaproic Acid in Total Knee Arthroplasty: A Meta-Analysis.,J Healthc Eng,2021,3
34659692,Anterior Cruciate Ligament Reconstruction with Hybrid Graft versus Autograft: A Systematic Review an,J Healthc Eng,2021,1
34422252,Meta-Analysis for Social Support Degree of Kidney Transplant Recipients: Evidence from China.,J Healthc Eng,2021,6
34337071,RUNX3 Expression Level Is Correlated with the Clinical and Pathological Characteristics in Endometri,Biomed Res Int,2021,1
34337015,A Systematic Review and Meta-Analysis of the SuperPATH Approach in Hip Arthroplasty.,Biomed Res Int,2021,10
34280195,The comparative effectiveness of 55 interventions in obese patients with polycystic ovary syndrome: ,PLoS One,2021,14
33997007,Urinary Angiogenin as a Marker for Bladder Cancer: A Meta-Analysis.,Biomed Res Int,2021,13
33901218,Prognostic and clinicopathological significance of C-reactive protein/albumin ratio (CAR) in patient,PLoS One,2021,9
