Parent_PMID,Cited_PMID,Citation_preview,Gold_Standard_Label,Confidence,Annotation_Source
POSITIVE_CONTROL,37193587,Effect of single-port video-assisted thoracoscopy on surgical site wound infecti,RETRACTED,0.99,rw_db
40892447,38664888,"Rivera  A, Gewehr  DM, Braga  MAP, Carvalho  PEP, Ternes  CMP, Pantaleao  AN  et",RETRACTED,0.88,deepseek
40287616,,"Kitenyi P, Washington L, Kidenya B, Said F, Kituuka O, Challya PL. Patterns of s",RETRACTED,1.00,user_manual
POSITIVE_CONTROL,35126640,Breastfeeding and Reduced Risk of Breast Cancer: A Systematic Review and Meta-An,RETRACTED,0.99,rw_db
40033805,12554798,"Gracie JA, Robertson SE, McInnes IB (2003). Interleukin-18. J Leukoc Biol 73(2):",CLEAN,0.85,deepseek
40925717,,"Kahalley LS, Peterson R, Douglas Ris M, Janzen L, Fatih Okcu M, Grosshans DR, et",CLEAN,1.00,user_manual
POSITIVE_CONTROL,38140754,A meta-analysis of the risk factors for neurosurgical surgical site infection fo,RETRACTED,0.99,rw_db
40035891,28168582,"Al-Natour A, Al Momani SM, Qandil AMA (2017) The relationship between spirituali",RETRACTED,0.88,deepseek
39969311,27956907,"Kazama I, Tamada T. Lymphocyte Kv1.3-channels in the pathogenesis of chronic obs",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,35392147,Comparative Efficacy of Water and Conventional Delivery during Labour: A Systema,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,37448350,The impact of sarcopenia on prognosis of patients with pancreatic cancer: A syst,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,37641210,Effect of intramedullary fixation and plate fixation on postoperative wound comp,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,35122396,A meta-analysis comparing efficiency of limb-salvage surgery vs amputation on pa,RETRACTED,0.99,rw_db
40038641,36056757,"Kharofa J, Apewokin S, Alenghat T, Ollberding NJ. Metagenomic analysis of the fe",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,35419184,The Association between Long Noncoding RNA over Expression and Poor Prognosis of,RETRACTED,0.99,rw_db
40999836,,"H. Kurtulmus and H. S. Cotert, “Management of Obstructive Sleep Apnea With a Man",CLEAN,1.00,user_manual
40038641,31908481,"Chen Y, Chen X, Yu H, Zhou H, Xu S. Oral Microbiota as Promising Diagnostic Biom",RETRACTED,0.88,deepseek
40033805,18980965,"Waugh DJJ, Wilson C (2008). The interleukin-8 pathway in cancer. Clin Cancer Res",CLEAN,0.85,deepseek
40033805,12580959,"Wierda WG, Johnson MM, Do KA, Manshouri T, Dey A, O'Brien S, et al. (2003). Plas",RETRACTED,0.88,deepseek
41201392,,"Schonebaum, LE, van den Berg, SAA, van Balkum, M, Visser, WE, Giovanella, L, Pee",CLEAN,1.00,user_manual
POSITIVE_CONTROL,24293373,CYP1A2 rs762551 polymorphism contributes to risk of lung cancer: a meta-analysis,RETRACTED,0.99,rw_db
41204891,36727247,"Barker, T. H. , Stone J. C., Sears K., et al. 2023. “The Revised JBI Critical Ap",CLEAN,0.85,deepseek
40597050,35290995,"Olsen CM, Pandeya N, Green AC, Ragaini BS, Venn AJ, Whiteman DC. Keratinocyte ca",CLEAN,0.85,deepseek
41201392,,"Miao, Q, Lv, X, Luo, L, Zhang, J, Cai, B. Exploring the application value of pro",CLEAN,1.00,user_manual
40033805,26142334,"Hiroki CH, Amarante MK, Petenuci DL, Sakaguchi AY, Trigo FC, Watanabe MA, de Oli",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38339818,Meta-analysis on the impact of immune senescence: Unravelling the interplay in c,RETRACTED,0.99,rw_db
41174505,35004681,"Mei Y, Wang S, Feng T, Yan M, Yuan F, Zhu Z, et al. Nomograms involving HER2 for",RETRACTED,0.88,deepseek
40679761,34108115,"Li J, Liu F, Fang X, et al. CT radiomics features in differentiation of focal-ty",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,36193317,Meta-Analysis of Prognostic Correlation of Thrombectomy for Cerebral Infarction ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,24566681,Role of RASSF1A promoter methylation in the pathogenesis of hepatocellular carci,RETRACTED,0.99,rw_db
40033805,,"Zareinejad M, Samiei A, Valibeigi B, Gholami T, Zareifar S, Amirghofran Z (2017)",CLEAN,1.00,user_manual
40033805,32767331,"Liu RT, Wang XX, Sun JR, Gao N, Yu WZ (2020). Correlations of IL-6 and IL-10 gen",RETRACTED,0.88,deepseek
41174505,17334716,"Ishikawa S, Togashi A, Inoue M, Honda S, Nozawa F, Toyama E, et al. Indications ",RETRACTED,0.88,deepseek
40290044,39232773,"Erfanian S.S., Ansari H., Javanmard S.H., Amini Z., Hajigholami A. The hepatoren",RETRACTED,0.88,deepseek
40815382,32890786,"Pennington Z, Ehresman J, Lubelski D et al (2021) Assessing underlying bone qual",RETRACTED,0.88,deepseek
41286158,23452509,"Gurka MK, et al. Stereotactic body radiation therapy with concurrent full-dose g",RETRACTED,0.88,deepseek
41188771,22691368,"Lei X, Zhu H, Zha L, Wang Y. SP110 gene polymorphisms and tuberculosis susceptib",RETRACTED,0.88,deepseek
40035891,,Musa AS et al (2023) Translation and validation of the Arabic version of the spi,CLEAN,1.00,user_manual
40145635,31643080,"Cumpston M., Li T., Page M. J., et al., “Updated Guidance for Trusted Systematic",RETRACTED,0.88,deepseek
40033805,24030378,"Mardiros A, Dos Santos C, McDonald T, Brown CE, Wang X, Budde LE, et al. (2013).",RETRACTED,0.88,deepseek
40923939,,"Lisee CM, Montoye AHK, Lewallen NF, et al. Assessment of free-living cadence usi",CLEAN,1.00,user_manual
40940796,33248648,"Wörheide M.A., Krumsiek J., Kastenmüller G., Arnold M. Multi-omics integration i",CLEAN,0.85,deepseek
39969311,33854596,"Liu N, Jiang A, Zheng X, et al. Prognostic nutritional index identifies risk of ",RETRACTED,0.88,deepseek
40145635,32768552,"Al Maqbali M., Al Sinani M., Al Naamani Z., and Al B. K., “Prevalence of Fatigue",RETRACTED,0.88,deepseek
40136388,35176262,"Zhang P., Dai J., Sun F., Xia H., He W., Duan L., Liu M., Zhao D., Zhu Y., Jiang",RETRACTED,0.88,deepseek
40679761,19621070,"Liberati A, Altman DG, Tetzlaff J, et al: The PRISMA statement for reporting sys",CLEAN,0.85,deepseek
39951207,37336832,"Gitto S, Serpi F, Messina C, Albano D, Di Bernardo A, Armiraglio E et al (2023) ",RETRACTED,0.88,deepseek
40815382,27683674,"Mobbs RJ, Phan K, Malham G, Seex K, Rao PJ (2015) Lumbar interbody fusion: techn",RETRACTED,0.88,deepseek
40033805,24870448,"Chamorro S, Vela M, Franco-Villanueva A, Carramolino L, Gutiérrez J, Gómez L, et",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,36401595,A meta-analysis examined the effect of stoma on surgical site wound infection in,RETRACTED,0.99,rw_db
40033805,15626735,"Kawakami M, Kawakami K, Kioi M, Leland P, Puri RK (2005). Hodgkin lymphoma thera",RETRACTED,0.88,deepseek
40679761,38725633,"Yan Q, Chen Y, Liu C, et al. Predicting histologic grades for pancreatic neuroen",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,36820576,Diagnostic value of ultrasound elastography in triple negative breast cancer: A ,RETRACTED,0.99,rw_db
40033805,26872697,"Turnis ME, Sawant DV, Szymczak-Workman AL, Andrews LP, Delgoffe GM, Yano H, et a",CLEAN,0.85,deepseek
40035891,30838697,Shrestha A et al (2019) Quality of life versus length of life considerations in ,RETRACTED,0.88,deepseek
41204891,36990485,"Barnes, J. , Sewart E., Armstrong R. A., et al. 2023. “Does Melatonin Administra",RETRACTED,0.88,deepseek
41085225,,"Signorello LB, Cohen SS, Bosetti C, et al. Female survivors of childhood cancer:",CLEAN,1.00,user_manual
40035891,22042225,Nissim R et al (2012) Managing Cancer and Living Meaningfully (CALM): a qualitat,CLEAN,0.85,deepseek
40035891,,Peplau HE (1994) Quality of life: an interpersonal perspective. Nurse Sci Q 7(1),RETRACTED,1.00,user_manual
40033805,10764142,"Frankel AE, McCubrey JA, Miller MS, Delatte S, Ramage J, Kiser M, et al. (2000).",RETRACTED,0.88,deepseek
40145635,22526147,"Hwang C. L., Yu C. J., Shih J. Y., Yang P. C., and Wu Y. T., “Effects of Exercis",RETRACTED,0.88,deepseek
40033805,29434597,"Somovilla-Crespo B, Martín Monzón MT, Vela M, Corraliza-Gorjón I, Santamaria S, ",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38600417,Bridging the gap: robotic applications in cerebral aneurysms neurointerventions ,RETRACTED,0.99,rw_db
41286158,19273710,"Iacobuzio-Donahue CA, et al. DPC4 gene status of the primary carcinoma correlate",RETRACTED,0.88,deepseek
40035891,33771405,"Lee MK (2021) Interactions of spiritual well-being, symptoms, and quality of lif",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,36060662,Efficacy of Cetuximab in Nasopharyngeal Carcinoma Patients Receiving Concurrent ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,37919995,ICG fluorescence imaging technology in laparoscopic liver resection for primary ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,38272817,Meta-analysis of the impact of laser interstitial hyperthermia on wound healing ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,16528610,Psychological impact of genetic counseling for familial cancer: a systematic rev,RETRACTED,0.99,rw_db
40815382,37008803,"Zhao H, Wang YJ, Wang RG et al (2023) Three-dimensional hounsfield units measure",RETRACTED,0.88,deepseek
40892447,30371296,"Seewöster  T, Büttner  P, Nedios  S, Sommer  P, Dagres  N, Schumacher  K  et al.",RETRACTED,0.88,deepseek
41188771,32354122,"Litak J, Grochowski C, Litak J, Osuchowska I, Gosik K, Radzikowska E et al. TLR-",RETRACTED,0.88,deepseek
41201392,,"Kim, KW, Lee, J, Choi, SH, Huh, J, Park, SH. Systematic review and meta-analysis",RETRACTED,1.00,user_manual
40815382,,PRISMA statement. PRISMA statement. Accessed April 22 (2024) https://www.prisma-,RETRACTED,1.00,user_manual
40892447,38555664,"Higgins  JPT, Morgan  RL, Rooney  AA, Taylor  KW, Thayer  KA, Silva  RA  et al. ",RETRACTED,0.88,deepseek
40033805,33279175,"Slade MJ, Uy GL (2020). CD123 bi-specific antibodies in development in AML: What",CLEAN,0.85,deepseek
40679761,,Liao WC. Early detection of pancreatic cancer: opportunities provided by cancer-,CLEAN,1.00,user_manual
40038641,28111632,"* Kato I, Vasquez AA, Moyerbrailean G, Land S, Sun J, Lin H-S, et al. Oral micro",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38083831,Influence of continuous nursing on surgical site wound infection and postoperati,RETRACTED,0.99,rw_db
40287616,27502400,"Tolstrup M-B, Watt SK, Gögenur I. Morbidity and mortality rates after emergency ",RETRACTED,0.88,deepseek
41204891,32658246,"Goldberg, T. E. , Chen C., Wang Y., et al. 2020. “Association of Delirium With L",CLEAN,0.85,deepseek
40033805,15831231,"Brat DJ, Bellail AC, Van Meir EG (2005). The role of interleukin-8 and its recep",CLEAN,0.85,deepseek
40747640,34446379,"Craig EJ, Ramsey AT, Baker TB, et al. Point of care tobacco treatment sustains d",RETRACTED,0.88,deepseek
40145635,26030634,"Hutton B., Salanti G., Caldwell D. M., et al., “The PRISMA Extension Statement f",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,34956581,To Investigate the Effect of Glucocorticoids on Blood Loss during and after Firs,RETRACTED,0.99,rw_db
40597050,26429634,"Katalinic A, Eisemann N, Waldmann A. Skin Cancer screening in germany. Documenti",RETRACTED,0.88,deepseek
41317088,27610467,"Sun Y, Jin L, Liu JH, et al. Interfering EZH2 expression reverses the cisplatin ",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,37679956,Effect of suture closure and staple closure on postoperative wound complications,RETRACTED,0.99,rw_db
40038641,34243011,"Xi Y, Xu P. Global colorectal cancer burden in 2020 and projections to 2040. Tra",RETRACTED,0.88,deepseek
40038641,36604116,"Morgan E, Arnold M, Gini A, Lorenzoni V, Cabasag CJ, Laversanne M, et al. Global",CLEAN,0.85,deepseek
POSITIVE_CONTROL,37328950,Amputation and limb salvage following endovascular and open surgery for the trea,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,26786924,Inferring the Effects of Cancer Treatment: Divergent Results From Early Breast C,RETRACTED,0.99,rw_db
41188771,12855769,"Gu H, Roizman B. The degradation of promyelocytic leukemia and Sp100 proteins by",RETRACTED,0.88,deepseek
40038641,35256335,"Villar-Ortega P, Expósito-Ruiz M, Gutiérrez-Soto M, Ruiz-Cabello Jiménez M, Nava",RETRACTED,0.88,deepseek
40597050,23182058,"Mar V, Roberts H, Wolfe R, English DR, Kelly JW. Nodular melanoma: a distinct cl",RETRACTED,0.88,deepseek
40033805,15614527,"Cohen KA, Liu TF, Cline JM, Wagner JD, Hall PD, Frankel AE (2005). Safety evalua",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38351522,Effect of laparoscopic and open distal pancreatectomy on postoperative wound com,RETRACTED,0.99,rw_db
41148318,33454307,"Viannay P, de la Codre F, Brochard C, Thubert T, Meurette G, Legendre G, et al. ",RETRACTED,0.88,deepseek
41286158,31682550,"Marabelle A, et al. Efficacy of pembrolizumab in patients with noncolorectal hig",RETRACTED,0.88,deepseek
40033805,30850736,"Akkapeddi P, Fragoso R, Hixon JA, Ramalho AS, Oliveira ML, Carvalho T, et al. (2",RETRACTED,0.88,deepseek
40679761,35788343,"Mukherjee S, Patra A, Khasawneh H, et al: Radiomics-based machine-learning model",RETRACTED,0.88,deepseek
40033805,16688182,"Langowski JL, Zhang X, Wu L, Mattson JD, Chen T, Smith K, et al. (2006). IL-23 p",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,25108671,The Clinical Utility of Matrix Metalloproteinase 9 in Evaluating Pathological Gr,RETRACTED,0.99,rw_db
40892447,35785368,"Aksan  G, Yanık  A, Yontar  OC, Boyacı  F, Uçar  M, Şahin  MK  et al.  The predi",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,22677269,Correlation between TGF-β1-509 C>T polymorphism and risk of digestive tract canc,RETRACTED,0.99,rw_db
40940796,32239350,"Radakovich N., Nagy M., Nazha A. Artificial intelligence in hematology: Current ",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,37555547,A meta-analysis comparing the effects of cemented and uncemented prostheses on w,RETRACTED,0.99,rw_db
39969368,,Available at:  https://www.who.int/zh/news-room/fact-sheets/detail/cancer. Acces,CLEAN,1.00,user_manual
40038641,28935701,"Shea BJ, Reeves BC, Wells G, Thuku M, Hamel C, Moran J, et al. AMSTAR 2: a criti",RETRACTED,0.88,deepseek
40033805,31235509,"Spencer S, Köstel Bal S, Egner W, Lango Allen H, Raza SI, Ma CA, et al. (2019). ",RETRACTED,0.88,deepseek
40290044,38754041,"Bower J.E., Lacchetti C., Alici Y., Barton D.L., Bruner D., Canin B.E., Escalant",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,24952891,Aberrant promoter methylation of the CHD1 gene may contribute to the pathogenesi,RETRACTED,0.99,rw_db
40038641,37325051,"* Kerdreux M, Edin S, Löwenmark T, Bronnec V, Löfgren-Burström A, Zingmark C, et",RETRACTED,0.88,deepseek
41204891,32234103,"Wang, H. , Zhang L., Luo Q., Li Y., and Yan F.. 2020. “Effect of Sleep Disorder ",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38272814,Effects of evidence-based nursing on surgical site wound infections in patients ,RETRACTED,0.99,rw_db
40033805,16425276,"Inagaki A, Ishida T, Ishii T, Komatsu H, Iida S, Ding J, et al. (2006). Clinical",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,37309291,Intrawound vancomycin powder in orthopaedic surgery as surgical site wound infec,RETRACTED,0.99,rw_db
41204891,,"Atalan, N. , and Sevim M. E.. 2013. “Post‐Operative Delirium Associated With Pro",RETRACTED,1.00,user_manual
39969311,37598676,"Nishihara-Kato F, Imai H, Tsuda T, et al. Prognostic potential of the prognostic",RETRACTED,0.88,deepseek
40035891,26892973,"Karimi M, Brazier J (2016) Health, health-related quality of life, and quality o",CLEAN,0.85,deepseek
POSITIVE_CONTROL,33901218,Prognostic and clinicopathological significance of C-reactive protein/albumin ra,RETRACTED,0.99,rw_db
40145635,30564936,"Kim J. Y., Lee M. K., Lee D. H., et al., “Effects of a 12‐Week Home‐Based Exerci",RETRACTED,0.88,deepseek
40960690,39954167,"Mohammadzadeh I, Hajikarimloo B, Niroomand B, Eini P, Ghanbarnia R, Habibi MA, e",RETRACTED,0.88,deepseek
40815382,,"Courtois EC, Davidson I (Uche), Ohnmeiss DD, Guyer RD (eds) (2023) Evaluating al",CLEAN,1.00,user_manual
40290044,38263138,"Omerovic E., Petrie M., Redfors B., Fremes S., Murphy G., Marquis-Gravel G., Lan",CLEAN,0.85,deepseek
40999836,,"J. A. Sterne, M. A. Hernán, B. C. Reeves, et al., “ROBINS‐I: A Tool for Assessin",RETRACTED,1.00,user_manual
40038641,35102554,"Zhou X, Wang L, Xiao J, Sun J, Yu L, Zhang H, et al. Alcohol consumption, DNA me",RETRACTED,0.88,deepseek
41201392,,"Yoshimura, T, Fujita, K, Kawakami, S, Takeda, K, Chan, S, Beligere, G, et al.. S",RETRACTED,1.00,user_manual
POSITIVE_CONTROL,26003452,Does ovarian stimulation for IVF increase gynaecological cancer risk? A systemat,RETRACTED,0.99,rw_db
40892447,35863814,"Yang  G, Zheng  L, Jiang  C, Fan  J, Liu  X, Zhan  X  et al.  Circumferential pu",RETRACTED,0.88,deepseek
40356837,,United States Food and Drug Administration . FDA approves first generics of Eliq,CLEAN,1.00,user_manual
POSITIVE_CONTROL,25023404,Common polymorphism in the MMP-13 gene may contribute to the risk of human cance,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,37293742,Surgical site wound infection and wound pain after video-assisted thoracoscopy i,RETRACTED,0.99,rw_db
40033805,22829135,"Yu M, Gang EJ, Parameswaran R, Stoddart S, Fei F, Schmidhuber S, et al. (2011). ",RETRACTED,0.88,deepseek
40038641,36145102,"Chang C, Yuan X, Zhang X, Chen X, Li K. Gastrointestinal Microbiome and Multiple",RETRACTED,0.88,deepseek
40033805,19020503,"Rebouissou S, Amessou M, Couchy G, Poussin K, Imbeaud S, Pilati C, et al. (2009)",RETRACTED,0.88,deepseek
41188771,34882582,"Yi SH, Yan YT, Jin ML, Bhattacharya S, Wang Y, Wu YM et al. Genomic and transcri",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,35979049,Grading Evaluation of Cardiotoxicity in Patients with Breast Cancer Treated with,RETRACTED,0.99,rw_db
40033805,36226493,"Ågerstam H, Lilljebjörn H, Rissler M, Sandén C, Fioretos T (2022). IL1RAP is exp",RETRACTED,0.88,deepseek
40033805,25363727,"Horacek JM, Kupsa T, Vasatova M, Jebavy L, Zak P (2015). Serum cytokine and adhe",RETRACTED,0.88,deepseek
41286158,,"Wang, N., et al. New Approved First-line Combining Therapy of NSCLC in 2020. in ",CLEAN,1.00,user_manual
41399105,,"Chiappetta S, Schaack HM, Wölnerhannsen B, et al. The impact of obesity and meta",CLEAN,1.00,user_manual
40033805,34235838,"Zampogiannis A, Piperi C, Baka M, Zoi I, Papavassiliou AG, Moschovi M (2021). Lo",RETRACTED,0.88,deepseek
40033805,17296584,"Scupoli MT, Perbellini O, Krampera M, Vinante F, Cioffi F, Pizzolo G (2007). Int",RETRACTED,0.88,deepseek
40925717,,"Shamseer L, Moher D, Clarke M, Ghersi D, Liberati A, Petticrew M, et al. Preferr",CLEAN,1.00,user_manual
41286158,17228145,"Barugola G, et al. The determinant factors of recurrence following resection for",RETRACTED,0.88,deepseek
41174505,26884381,"Sekiguchi M, Oda I, Taniguchi H, Suzuki H, Morita S, Fukagawa T, et al. Risk str",RETRACTED,0.88,deepseek
41146130,26030634,"Hutton B, Salanti G, Caldwell DM, Chaimani A, Schmid CH, Cameron C, et al. The P",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,35774293,Effects of Enhanced Recovery Rehabilitation Surgery Concepts on the Surgical Pro,RETRACTED,0.99,rw_db
41146130,39818272,"Bagchi P, Sidana S, Baviskar P, Natarajan S, Ahuja S, Balkawade R. Which is the ",RETRACTED,0.88,deepseek
41188771,35368888,"Zhou H, Wu LM, Yu LJ, Yang YB, Kong LL, Liu S et al. Identify a DNA Damage Repai",RETRACTED,0.85,journal_risk
POSITIVE_CONTROL,36034204,Meta-Analysis of PKP or PVP Combined with Acupuncture in the Treatment of Osteop,RETRACTED,0.99,rw_db
39969368,,"Wang F, Wang W, Du R. The application value of pelvic floor peritoneal closure i",CLEAN,1.00,user_manual
40145635,28403893,"Mbuagbaw L., Rochwerg B., Jaeschke R., et al., “Approaches to Interpreting and C",CLEAN,0.85,deepseek
41188771,22718861,"Arumugam T, Ramachandran V, Gomez SB, Schmidt AM, Logsdon CD. S100p-derived RAGE",RETRACTED,0.88,deepseek
40033805,34788131,"Ye C, Yano H, Workman CJ, Vignali DAA (2021). Interleukin-35: Structure, Functio",CLEAN,0.85,deepseek
40035891,27271809,Bai M et al (2016) Exploring the individual patterns of spiritual well-being in ,RETRACTED,0.88,deepseek
41174505,32460771,"Yuan L, Xu ZY, Ruan SM, Mo S, Qin JJ, Cheng XD. Long non-coding RNAs towards pre",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,24435745,Lack of association of XRCC1 rs1799782 genetic polymorphism with risk of pancrea,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,40349787,Association Between Kidney Stones and Subsequent Risk of Upper Tract Urothelial ,RETRACTED,0.99,rw_db
40960690,,"Saleh GA, Batouty NM, Gamal A, Elnakib A, Hamdy O, Sharafeldeen A, et al. Impact",CLEAN,1.00,user_manual
40038641,32337748,"* Gao R, Wang Z, Li H, Cao Z, Gao Z, Chen H, et al. Gut microbiota dysbiosis sig",RETRACTED,0.88,deepseek
40033805,34655194,"Zhang K, Li X, Huang R, Chen C, Hu W (2021). IL-10 as an Indicator for Predictin",RETRACTED,0.88,deepseek
41204891,35990939,"Kadier, K. , Qin L., Ainiwaer A., et al. 2022. “Association of Sleep‐Related Dis",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,37350616,Platelet-rich plasma influence on the sternal wounds healing: A meta-analysis.. ,RETRACTED,0.99,rw_db
40035891,8829161,"Ferrell BR (1996) The quality of lives: 1,525 voices of cancer. Oncol Nurs Forum",CLEAN,0.85,deepseek
41399105,,"Binboga S, Isıksacan N, Kasapoğlu P, et al. Plasma presepsin in determining gast",RETRACTED,1.00,user_manual
40035891,12008794,Peterman AH et al (2002) Measuring spiritual well-being in people with cancer: t,CLEAN,0.85,deepseek
40145635,37126034,"Wang L., Quan M., Nieman D. C., et al., “Effects of High‐Intensity Interval Trai",RETRACTED,0.88,deepseek
41085225,,"Gonçalves V, Sehovic I, Quinn G. Childbearing attitudes and decisions of young b",RETRACTED,1.00,user_manual
40356837,23430767,"Khorana AA, Dalal MR, Lin J, Connolly GC. Health care costs associated with veno",RETRACTED,0.88,deepseek
40940796,,Harari Y.N. Dataism is Our New God. New Perspect. Q. 2017;34:36–43. doi: 10.1111,RETRACTED,1.00,user_manual
40033805,11244051,"Moore KW, de Waal Malefyt R, Coffman RL, O'Garra A (2001). Interleukin-10 and th",CLEAN,0.85,deepseek
41089680,39643999,"Russler-Germain DA, Bartlett NL. Sequencing bispecific antibodies and CAR T cell",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,24048755,Vitamin D receptor gene ApaI polymorphism and breast cancer susceptibility: a me,RETRACTED,0.99,rw_db
40747640,26262565,"Lockwood C, Munn Z, Porritt K. Qualitative research synthesis: methodological gu",CLEAN,0.85,deepseek
40923939,,"Filbay SR, Culvenor AG, Ackerman IN, et al. Quality of life in anterior cruciate",CLEAN,1.00,user_manual
40290044,38835932,"Nejadghaderi S.A., Balibegloo M., Rezaei N. The Cochrane risk of bias assessment",CLEAN,0.85,deepseek
40597050,,Covidence systematic [internet]eview software [Internet]. Veritas Health Innovat,CLEAN,1.00,user_manual
